Number of Features,MSE
1,0.22425192232275568
2,0.2053670311562251
3,0.1988573050945026
4,0.19626456315945512
5,0.19147731661366302
6,0.19140804753008084
7,0.188825724151156
8,0.18166308415810822
9,0.17126492257873166
10,0.16367098168875518
11,0.1591908574987189
12,0.15141807122506398
13,0.1422958728015718
14,0.14091558070772134
15,0.13800726876598496
16,0.13765096977408792
17,0.13717874533462132
18,0.13651401549742306
19,0.13608580501571801
