Number of Features,MSE
1,0.12408826389020822
2,0.12167992041272298
3,0.11849469444379478
4,0.12640652671988464
5,0.12813851621705172
6,0.13839689121427415
7,0.1441321471305836
8,0.1484000059942974
9,0.14757286801058292
10,0.14491110305600935
11,0.1425177726283517
12,0.13985454489143664
13,0.13857001427634172
14,0.13798779408155068
15,0.1357589109140342
16,0.1324995644694747
17,0.13219749296182642
18,0.13181274842200338
19,0.13152644034299021
