Model,Class,Precision,Sensitivity,Specificity,Accuracy,MCC,F1,IOU
RandomForest_b4,Class_0,0.9406485825005099,0.689928568757246,0.7658418829209415,0.7018290760012614,0.34113234177979884,0.7960130310025674,0.6611475468587608
RandomForest_b4,Class_1,0.31468011241527527,0.7658418829209415,0.689928568757246,0.7018290760012614,0.34113234177979884,0.446071826117523,0.28706077514703665
