stat,Model,Class,Precision,Sensitivity,Specificity,Accuracy,MCC,F1,IOU,iteration,fraction
mean,RandomForest_b4,Class_0,0.9408256517042394,0.6901130443323811,0.7663924110230005,0.7020647184554468,0.34163529073321314,0.7961979545137792,0.6614042333178816,30,0.6
mean,RandomForest_b4,Class_1,0.31484590212316443,0.7663924110230005,0.6901130443323811,0.7020647184554468,0.34163529073321314,0.4463270477187823,0.2872754642565171,30,0.6
sd,RandomForest_b4,Class_0,0.0007618609761655404,0.0017014019387299902,0.0026596099765962993,0.0015090850021909328,0.002661663045020166,0.0011663199032841314,0.0016093491470977697,30,0.6
sd,RandomForest_b4,Class_1,0.0023432290564519686,0.0026596099765962993,0.0017014019387299902,0.0015090850021909328,0.002661663045020166,0.002516620756582906,0.0020844702399092654,30,0.6
